Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
5,10,0,2,0,15,3,0,11,4,54,61,0,274,1,3.15,13.97,134,2,0.01,-16,35,2,0,0,normal
1,15,1,1,2,24,1,1,18,1,38,60,2,136,2,1.69,14.01,137.4,11,0.09,-12.6,43,15,0,1,normal
5,9,0,2,3,19,0,0,0,3,59,96,3,414,2,1.81,16.53,154.5,1,0.16,4.5,35,1.8,0,0,normal
5,9,0,1,4,19,1,0,13,1,65,70,1,279,2,2.17,15.92,135.1,1,0.13,-14.9,35,1.8,0,0,normal
6,12,1,0,2,21,2,0,18,7,51,63,1,416,2,1.33,14.79,138.8,3,0.09,-11.2,42,2,0,0,normal
6,5,0,1,2,19,2,0,7,1,31,41,2,275,0,2.42,12.35,144,8,0.06,-6,33,0.83,0,0,normal
4,14,0,1,2,21,1,0,6,3,34,59,0,118,2,2.12,16.55,147.9,8,0.15,-2.1,41,3.5,0,0,normal
5,12,1,1,0,21,2,0,12,3,33,86,0,129,1,2.01,15.52,156.5,5,0.15,6.5,42,2.4,0,0,normal
6,4,1,2,1,18,2,0,15,3,66,98,1,281,4,2.03,11.38,144.4,3,0.13,-5.6,33,0.67,0,0,normal
9,9,0,1,1,23,1,0,10,1,52,53,1,162,2,1.69,15.19,155.5,0,0.07,5.5,43,1,0,0,normal
4,15,0,2,4,27,2,0,8,3,34,97,0,137,4,2.01,12.28,137.9,3,0.15,-12.1,50,3.75,0,0,normal
5,8,1,1,2,13,0,0,8,3,45,56,0,389,3,2.17,14.3,143.3,13,0.05,-6.7,28,1.6,0,0,normal
5,13,0,0,0,20,0,0,5,2,58,60,0,373,5,3.45,15.37,145.8,4,0.11,-4.2,38,2.6,0,0,normal
5,11,0,2,3,16,1,0,14,6,63,57,1,279,3,2.34,13.36,136.3,6,0.1,-13.7,35,2.2,0,0,normal
8,13,0,0,2,7,3,1,16,5,37,65,2,365,1,1.52,14.02,144,12,0.07,-6,31,1.62,0,0,normal
5,15,0,1,1,24,1,0,2,0,65,46,3,499,3,1.65,13.56,148.3,3,0.14,-1.7,46,3,0,0,normal
5,13,0,0,3,19,6,0,0,6,40,63,0,451,0,1.52,14.37,149.7,5,0.05,-0.3,43,2.6,0,0,normal
5,13,0,1,2,11,0,0,19,3,55,38,0,165,2,2.15,16.01,156,0,0.06,6,30,2.6,0,0,normal
7,10,0,1,0,14,1,0,1,3,33,46,0,236,3,2.06,10.82,159.9,11,0.09,9.9,33,1.43,0,1,normal
7,14,0,0,2,20,5,1,3,0,31,58,3,456,2,2.92,14.98,157.9,1,0.04,7.9,46,2,0,0,normal
6,12,1,1,2,21,2,0,16,3,32,66,1,348,3,2.44,13.54,156.5,7,0.06,6.5,43,2,0,0,normal
4,8,0,0,1,14,3,0,4,1,69,39,0,147,0,2.46,14.01,149.3,3,0.11,-0.7,29,2,0,0,normal
7,13,0,3,0,15,3,0,6,7,57,75,0,239,1,1.66,15.26,150.3,8,0.04,0.3,41,1.86,0,0,normal
4,9,0,0,0,25,3,1,7,5,33,94,3,432,2,2.02,14.23,151.6,5,0.1,1.6,41,2.25,0,0,normal
5,14,0,1,0,19,2,0,10,2,44,37,1,338,5,2.46,17.77,161.7,4,0.03,11.7,41,2.8,0,0,normal
8,10,0,0,0,14,0,0,7,4,58,67,1,325,2,2.5,14.21,131.5,5,0.05,-18.5,32,1.25,0,0,normal
8,12,1,5,4,25,1,0,8,4,63,33,0,474,2,2.09,14.47,160,11,0.09,10,52,1.5,0,0,normal
3,14,0,2,0,21,3,0,10,1,34,38,1,398,4,2.67,13.22,156,7,0.11,6,43,4.67,0,0,normal
7,7,1,2,1,26,4,0,0,1,30,69,3,342,1,1.08,12.55,149.7,13,0.04,-0.3,47,1,0,0,normal
2,11,0,1,2,16,1,0,14,2,35,54,0,165,2,2.92,14.93,146.4,1,0.12,-3.6,31,5.5,0,0,normal
2,6,0,0,0,17,1,0,3,0,32,94,2,357,3,1.36,14.74,157.1,11,0.09,7.1,26,3,0,0,normal
7,9,0,1,1,24,1,0,16,3,69,61,0,268,1,2.16,14.69,144.2,11,0.09,-5.8,42,1.29,0,0,normal
5,8,1,1,2,11,1,1,17,1,51,41,0,156,1,1.02,14.64,144.8,7,0.17,-5.2,27,1.6,0,0,normal
5,6,0,1,2,30,1,0,18,1,68,66,1,361,2,4.15,13.91,148.1,2,0.09,-1.9,43,1.2,0,0,normal
7,7,1,2,2,19,3,0,12,2,46,84,1,106,2,2.26,15.74,148.2,10,0.17,-1.8,39,1,0,0,normal
4,10,0,1,5,23,3,0,6,3,64,64,2,446,2,1.03,14.89,152.7,8,0.03,2.7,41,2.5,0,0,normal
5,11,0,1,5,21,1,0,10,2,43,60,0,177,2,1.36,13.29,148.3,2,0.11,-1.7,39,2.2,0,0,normal
4,10,1,1,0,21,1,1,17,2,53,56,2,189,2,1.39,14.22,148,11,0.06,-2,38,2.5,0,0,normal
4,9,1,2,3,17,0,0,10,1,44,75,2,282,3,2.77,14.57,152.4,13,0.11,2.4,33,2.25,0,0,normal
2,8,0,2,2,19,2,0,11,4,61,36,1,448,0,1.63,12.79,137.3,12,0.12,-12.7,33,4,0,0,normal
5,10,0,1,3,22,2,0,4,5,43,54,1,135,2,5.19,13.53,146,1,0.15,-4,40,2,0,0,normal
4,10,1,1,0,20,2,0,5,1,64,76,2,459,2,2.04,15.47,159.3,12,0.17,9.3,38,2.5,0,0,normal
5,9,0,1,5,29,3,0,2,2,57,87,2,492,0,1.46,13.37,147.8,7,0.09,-2.2,47,1.8,0,0,normal
5,14,0,1,2,21,3,1,3,6,35,34,0,158,1,2.61,16.65,155.2,0,0.07,5.2,44,2.8,0,0,normal
7,8,0,0,3,20,3,0,8,2,51,45,0,465,4,2.2,15.57,145.6,4,0.07,-4.4,38,1.14,0,0,normal
2,11,0,0,0,21,2,0,5,4,39,91,1,122,1,3.05,13.03,161.4,14,0.16,11.4,36,5.5,0,0,normal
7,6,0,1,2,23,3,0,19,3,53,77,1,341,1,2.17,15.18,156.3,11,0.04,6.3,40,0.86,0,0,normal
6,11,0,1,0,20,4,0,15,2,45,58,1,199,0,1.66,13.43,143.8,1,-0.01,-6.2,42,1.83,0,0,normal
2,4,0,1,0,25,0,0,0,5,67,61,1,286,1,3.26,12.22,153.2,9,0.1,3.2,32,2,0,0,normal
2,5,1,0,1,22,2,0,16,0,66,92,1,475,2,3.11,13.72,161.1,5,0.09,11.1,32,2.5,0,0,normal
7,10,0,0,1,19,3,0,5,3,50,39,1,112,4,2.86,13.36,148.1,11,0.09,-1.9,39,1.43,0,0,normal
5,10,1,3,1,15,2,0,10,2,69,48,1,204,3,2.42,15.48,151.4,13,0.12,1.4,36,2,0,0,normal
6,11,0,0,3,25,1,0,0,5,44,96,2,294,1,1.5,13.27,160.3,6,0.09,10.3,43,1.83,0,0,normal
3,3,1,1,1,18,1,0,19,1,52,38,2,236,1,3.77,14.69,154,11,0.12,4,27,1,0,0,normal
10,13,0,1,1,24,2,0,14,4,34,45,0,221,2,3.04,14.67,146.3,7,0.08,-3.7,50,1.3,0,0,normal
3,9,0,1,3,17,1,0,12,3,69,70,1,199,1,1.87,16.12,155,14,0.08,5,31,3,0,0,normal
1,7,0,1,1,16,4,0,4,4,58,68,1,141,1,1.08,14.33,146.2,8,0.09,-3.8,29,7,0,0,normal
6,6,0,0,1,20,1,0,12,2,42,66,0,290,4,2.43,12.85,161.9,5,0.1,11.9,33,1,0,0,normal
6,7,0,0,1,17,1,0,11,4,44,43,2,110,1,2.2,14.33,138.8,4,0.17,-11.2,31,1.17,0,0,normal
2,12,0,0,5,20,2,0,4,4,38,89,0,281,3,2.79,12.18,147.8,13,0.05,-2.2,36,6,0,0,normal
2,11,0,2,2,11,2,0,19,3,66,49,1,408,2,3.08,12.07,150.8,3,0.09,0.8,28,5.5,0,0,normal
6,13,1,2,3,22,4,0,14,4,62,89,1,408,3,1.54,12.16,139.4,12,0.06,-10.6,48,2.17,0,0,normal
6,12,0,3,0,21,3,0,2,5,44,82,1,163,3,1.02,14.42,136.7,13,0.12,-13.3,45,2,0,0,normal
3,14,0,0,3,17,0,0,6,4,45,73,0,186,3,1.08,15.14,148.1,11,0.11,-1.9,34,4.67,0,0,normal
5,15,0,0,1,21,1,1,0,4,57,99,1,309,2,2.38,13.55,158.4,11,0.09,8.4,42,3,0,0,normal
3,12,0,1,0,20,3,0,3,3,34,89,4,160,3,2.36,12.83,153.6,1,0.13,3.6,39,4,0,0,normal
4,9,1,0,1,10,2,0,0,1,62,36,2,154,2,2.09,13.66,137.8,9,0.08,-12.2,26,2.25,0,0,normal
2,8,0,0,5,15,1,0,11,3,60,96,0,346,4,2.68,15.97,159,7,0.02,9,26,4,0,1,normal
2,7,0,1,2,19,2,1,8,1,64,49,0,232,4,3.11,15.47,150,11,0.03,0,31,3.5,0,0,normal
5,11,1,0,4,17,7,0,7,3,42,90,1,231,2,2.22,12.89,140.2,1,0.09,-9.8,41,2.2,0,0,normal
3,13,0,2,4,20,4,0,5,4,31,80,1,176,0,1.74,14.17,143.9,14,0.18,-6.1,42,4.33,0,0,normal
6,8,1,2,4,21,2,1,10,4,59,36,0,381,2,1.64,11.15,154.2,5,0.12,4.2,40,1.33,0,0,normal
9,9,1,2,1,25,3,0,3,2,49,68,2,404,0,1.25,15.05,154.8,5,0.07,4.8,49,1,0,0,normal
4,20,0,1,3,28,1,0,19,3,30,45,0,347,5,2.74,15.5,144.1,12,0.09,-5.9,54,5,0,0,normal
5,13,0,0,1,14,3,0,16,3,57,81,3,284,1,1.67,13.34,159.9,14,0.04,9.9,35,2.6,0,0,normal
4,12,1,1,1,25,2,0,6,2,31,71,4,462,2,1.96,13.13,159.7,0,0.16,9.7,45,3,0,0,normal
3,11,0,0,0,19,0,0,11,7,55,59,1,351,3,2.01,17.59,142.9,3,0.17,-7.1,33,3.67,0,0,normal
5,12,0,2,5,23,2,1,0,4,69,45,2,229,2,1.49,13.15,161.2,13,0.15,11.2,44,2.4,0,0,normal
9,6,0,2,1,19,2,1,18,3,44,49,2,162,2,1.42,15.38,150.6,12,0.18,0.6,38,0.67,0,0,normal
1,12,0,2,1,18,5,1,3,2,42,36,1,157,3,1.21,14.22,152.8,14,0.17,2.8,38,12,0,0,normal
3,12,0,1,2,25,1,1,13,3,69,78,1,238,1,2.17,14.51,151,13,0.11,1,42,4,0,0,normal
5,14,0,1,0,23,3,0,1,1,34,79,1,284,2,1.5,12.81,131.9,4,0.05,-18.1,46,2.8,0,0,normal
5,6,0,1,3,20,2,0,15,3,65,36,0,416,1,2.14,16.4,159,13,0.1,9,34,1.2,0,0,normal
7,8,0,2,3,18,3,0,11,0,56,39,1,147,3,3.07,16.36,151.9,12,0.08,1.9,38,1.14,0,0,normal
6,8,0,1,1,14,1,0,4,1,50,67,0,137,3,2.12,16.31,151.6,8,0.17,1.6,30,1.33,0,0,normal
4,11,0,0,3,20,0,0,4,1,69,75,2,203,0,2.36,14.82,159.1,4,0.08,9.1,35,2.75,0,0,normal
5,10,1,2,1,23,3,1,16,3,45,72,1,496,2,3.1,16.76,156,0,0.15,6,44,2,0,0,normal
0,14,0,1,3,27,3,0,7,1,51,61,2,446,2,1.41,16.45,147.8,3,0.14,-2.2,45,0,0,0,normal
4,13,0,0,0,20,1,0,12,2,59,78,1,186,1,3.12,16.62,145.2,7,0.09,-4.8,38,3.25,0,0,normal
5,13,0,1,1,22,3,1,5,1,31,30,0,361,3,1.47,15.01,143.6,0,0.08,-6.4,44,2.6,0,0,normal
4,7,1,3,2,23,1,0,8,3,68,32,1,471,3,3.61,14.7,156.8,2,0.08,6.8,39,1.75,0,0,normal
2,11,0,0,0,22,3,0,16,3,37,70,3,297,1,4.09,15.74,142.8,5,0.11,-7.2,38,5.5,0,0,normal
6,6,0,0,3,21,3,0,15,2,69,65,0,333,0,2.48,14.66,151.3,1,0.06,1.3,36,1,0,0,normal
5,12,0,1,2,13,3,0,0,4,65,67,2,443,1,2.52,14.73,153,8,-0.07,3,34,2.4,0,0,normal
2,11,0,0,1,21,1,0,15,5,44,59,2,313,2,1.21,14.26,160.1,6,0.11,10.1,35,5.5,0,0,normal
5,13,0,2,1,17,2,1,15,2,37,84,1,442,2,4.23,16.44,147.6,10,0.08,-2.4,39,2.6,0,0,normal
3,5,0,0,4,17,2,0,12,0,52,75,0,343,1,1.67,16.87,145.7,5,0.15,-4.3,27,1.67,0,0,normal
3,6,1,1,1,11,2,0,1,3,40,77,1,478,1,1.91,15.23,161.9,0,0.01,11.9,24,2,0,0,normal
6,14,1,1,4,12,1,0,17,3,44,67,0,147,2,1.53,14.5,157.4,14,0.12,7.4,35,2.33,0,0,normal
7,13,1,0,1,17,3,0,19,1,58,77,0,101,0,2.91,12.17,158.1,7,0.08,8.1,41,1.86,0,0,normal
3,12,0,0,1,25,2,0,0,4,56,96,2,219,2,1.04,13.77,141.5,12,0.05,-8.5,42,4,0,0,normal
5,6,1,3,1,29,2,1,8,2,55,59,2,385,2,2.38,13.59,144.1,1,0.1,-5.9,46,1.2,0,0,normal
9,10,1,0,1,22,1,0,12,0,38,76,0,346,2,1.66,15.15,151.7,12,0.02,1.7,43,1.11,0,0,normal
5,10,0,1,3,14,2,0,12,1,50,66,2,185,3,2.43,14.69,148.6,12,0.04,-1.4,32,2,0,0,normal
4,7,0,2,3,21,4,0,7,2,62,41,0,414,1,1.11,16.37,146.5,0,0.15,-3.5,38,1.75,0,0,normal
4,6,0,0,1,18,2,0,16,3,35,40,1,111,0,2.63,13.47,154.9,7,0.03,4.9,30,1.5,0,0,normal
7,7,1,1,2,29,3,0,14,1,32,57,2,302,2,1.91,14.62,151.1,1,0.05,1.1,48,1,0,0,normal
2,10,1,0,5,23,4,0,4,3,64,93,1,460,2,1.73,13.74,140.1,6,0.08,-9.9,40,5,0,0,normal
2,4,1,0,1,16,1,1,0,0,35,75,3,183,3,1.31,15.88,153.2,4,0.16,3.2,24,2,0,0,normal
3,8,0,1,2,16,1,0,5,1,59,98,2,151,5,1.27,13.5,131.2,7,0.13,-18.8,29,2.67,0,0,normal
5,7,0,0,1,21,3,0,13,4,36,30,0,403,3,1.36,14.8,148.9,11,0.1,-1.1,36,1.4,0,0,normal
8,16,0,1,2,13,1,0,18,0,34,42,1,421,5,1.84,16.3,156.8,8,0.07,6.8,39,2,0,0,normal
4,13,0,1,4,23,1,0,19,4,50,34,1,266,3,1.9,13.7,147.8,2,0.14,-2.2,42,3.25,0,0,normal
6,9,0,0,2,19,4,0,17,2,68,41,0,262,3,3.72,15.35,154.8,10,0.17,4.8,38,1.5,0,0,normal
5,10,0,1,3,20,2,0,19,3,58,45,1,435,1,2.05,13.88,144,6,0.12,-6,38,2,0,0,normal
3,10,0,1,2,26,3,0,18,3,53,67,1,475,0,3.71,14.9,155.7,10,0.11,5.7,43,3.33,0,0,normal
6,11,1,2,2,21,1,1,18,3,67,70,0,285,2,2.25,14.33,153,9,0.14,3,42,1.83,0,0,normal
6,10,0,1,1,23,1,0,6,3,47,89,0,488,2,2.44,13.34,131.9,4,0.04,-18.1,41,1.67,0,0,normal
9,6,1,0,2,23,1,1,5,2,57,56,1,162,0,2.63,15.25,158.6,5,0.1,8.6,40,0.67,0,0,normal
3,7,0,0,3,19,3,0,17,3,48,99,1,245,3,4.11,14.86,150.3,3,0.18,0.3,32,2.33,0,0,normal
5,11,0,1,1,19,1,0,2,1,69,30,1,440,1,4.79,14.43,143.5,6,0.04,-6.5,37,2.2,0,0,normal
5,10,0,0,3,27,1,1,16,5,46,62,0,109,2,2.49,13.57,146.9,13,0.15,-3.1,43,2,0,0,normal
2,7,1,2,0,23,5,1,9,1,36,78,1,321,2,1.9,16.1,149.9,3,0.1,-0.1,40,3.5,0,0,normal
6,8,1,1,4,22,0,0,15,3,67,55,0,278,0,2.56,13.04,157.9,0,0.12,7.9,38,1.33,0,0,normal
4,9,0,1,2,21,1,0,9,6,57,72,2,443,2,2.05,10.99,154.7,5,0.08,4.7,36,2.25,0,0,normal
2,9,0,1,1,26,4,0,0,2,48,71,1,211,2,1.77,12.94,146.1,0,0.1,-3.9,42,4.5,0,0,normal
1,13,1,2,1,26,3,0,13,1,38,90,2,407,4,3.45,18.43,158.2,12,0.03,8.2,46,13,0,0,normal
5,8,0,0,2,24,3,0,12,3,54,71,0,217,4,1.64,16.87,157.9,12,0.07,7.9,40,1.6,0,0,normal
8,11,0,0,4,16,4,0,18,4,35,30,1,328,0,2.34,15.2,149.4,0,0.11,-0.6,39,1.38,0,0,normal
8,5,1,1,0,17,3,0,3,2,39,93,1,363,3,2.91,17.41,157.7,12,0.08,7.7,35,0.62,0,0,normal
4,12,0,2,2,21,4,0,15,0,48,43,1,390,1,2.26,14.55,147,2,0.05,-3,43,3,0,0,normal
3,7,0,0,3,29,2,0,1,1,68,96,0,307,2,2.33,13.95,151.3,8,0.06,1.3,41,2.33,0,0,normal
4,10,0,2,3,19,2,1,4,2,63,36,0,216,3,2.06,14.63,143.7,1,0.01,-6.3,37,2.5,0,0,normal
8,11,1,0,4,17,1,0,9,2,66,49,0,421,2,1.39,16.68,157,6,0.1,7,38,1.38,0,0,normal
7,2,0,0,1,27,2,0,10,9,56,37,2,415,2,2.23,15.41,159.8,14,0.09,9.8,38,0.29,0,0,normal
0,17,0,0,2,22,1,0,14,4,54,51,1,139,5,1.67,14.38,153.8,8,0.09,3.8,40,0,0,0,normal
8,10,0,0,2,19,7,1,2,1,69,88,1,205,0,1.98,15.58,162,0,0.08,12,44,1.25,0,0,normal
9,10,0,0,2,14,2,1,10,2,51,64,1,205,5,2.12,14.32,132.3,11,0.09,-17.7,35,1.11,0,0,normal
9,8,0,0,1,16,2,0,12,4,34,37,0,491,1,2.33,16.28,138.4,13,0,-11.6,35,0.89,0,0,normal
8,11,0,2,0,24,0,0,3,4,30,62,1,118,1,1.75,16.2,142.1,9,0.02,-7.9,45,1.38,0,0,normal
6,14,1,1,4,23,2,0,13,3,52,52,0,133,1,1.45,14.04,161,14,0.07,11,47,2.33,0,0,normal
6,11,0,2,1,12,3,0,4,3,39,46,1,155,4,2.32,15.62,148,3,0.16,-2,34,1.83,0,0,normal
5,18,0,0,4,13,2,0,0,3,51,35,1,132,4,2.14,16.17,157.2,13,0.13,7.2,38,3.6,0,0,normal
5,9,0,0,1,20,3,0,10,6,65,51,3,115,1,1.66,16.33,155.4,9,-0.02,5.4,37,1.8,0,0,normal
5,12,0,0,3,22,0,0,4,2,36,68,2,116,3,3.96,18.97,137.4,1,0.1,-12.6,39,2.4,0,0,normal
4,12,1,0,1,14,1,0,17,3,59,63,1,384,2,2.79,13.9,147.7,9,0.16,-2.3,32,3,0,0,normal
6,11,0,1,2,20,1,1,9,4,36,83,1,300,1,1.95,12.25,160.2,13,0.11,10.2,39,1.83,0,0,normal
7,13,1,0,2,13,2,0,9,2,69,71,0,378,0,3.36,15.23,153.6,3,0.12,3.6,36,1.86,0,0,normal
4,10,0,1,1,28,5,0,18,2,62,30,2,115,5,2.21,15.71,155.1,8,0.09,5.1,48,2.5,0,0,normal
4,9,0,1,0,12,3,0,13,2,38,58,2,380,1,2.36,14.27,139.2,5,0.1,-10.8,29,2.25,0,0,normal
5,9,1,0,5,21,3,1,5,4,46,97,1,125,1,1.82,12.46,154.1,14,0.11,4.1,39,1.8,0,0,normal
2,13,0,1,2,20,2,0,13,2,52,61,0,292,2,2.66,15.22,156.7,14,0.07,6.7,38,6.5,0,0,normal
5,9,1,0,1,13,1,0,13,3,50,79,1,458,4,1.3,13.38,160,1,0.12,10,29,1.8,0,0,normal
8,11,0,1,5,17,1,0,1,3,53,67,1,410,2,1.85,14.3,153,7,0.13,3,38,1.38,0,0,normal
4,14,1,0,1,17,2,0,2,3,49,74,0,159,0,1.39,15.88,155.1,14,0.14,5.1,38,3.5,0,0,normal
4,13,1,4,1,16,2,0,1,3,31,82,2,420,1,2.38,15.53,149.5,6,0.15,-0.5,40,3.25,0,0,normal
8,9,1,1,3,20,0,0,4,2,36,49,1,234,1,1.04,15.36,145.4,1,0.11,-4.6,39,1.12,0,0,normal
6,10,0,0,4,14,1,0,10,1,51,75,2,498,2,2.74,13.35,141,3,0.06,-9,31,1.67,0,0,normal
5,13,0,0,7,24,1,0,7,5,54,92,0,117,2,1.17,13.93,139.5,12,0.16,-10.5,43,2.6,0,0,normal
7,2,0,2,2,17,2,0,11,2,43,48,0,406,1,1.58,13.78,137,11,0.12,-13,30,0.29,0,0,normal
7,7,1,1,2,26,5,0,17,0,43,47,0,226,4,2.16,13.48,159.9,4,0.08,9.9,47,1,0,0,normal
8,13,1,0,0,27,4,0,17,2,66,82,1,172,2,1.04,14.08,161,14,0.1,11,53,1.62,0,0,normal
8,10,0,1,1,20,4,0,17,3,41,67,0,165,2,2.47,11.57,150.9,9,0.13,0.9,43,1.25,0,0,normal
6,17,0,0,4,26,1,0,18,3,37,64,0,171,1,1.36,14.73,141.9,1,0.08,-8.1,50,2.83,0,0,normal
1,10,1,1,2,25,4,0,18,10,58,83,3,122,3,2.85,19.38,160.8,6,0.14,10.8,42,10,0,0,normal
6,8,1,2,2,21,2,1,6,4,50,47,1,313,2,3.86,14.6,141.1,2,0.15,-8.9,40,1.33,0,0,normal
4,8,1,1,3,24,1,0,5,7,35,62,1,109,4,2.56,16.48,138.4,11,0,-11.6,39,2,0,0,normal
2,15,1,3,1,21,1,0,19,5,33,84,1,316,2,1.66,12.65,144.3,6,0.05,-5.7,43,7.5,0,0,normal
4,13,1,1,1,18,0,0,7,3,62,31,0,252,1,2.37,11.95,143.2,7,0.08,-6.8,37,3.25,0,0,normal
10,10,1,1,2,19,1,0,13,5,51,97,0,241,2,2.23,10.92,161.5,0,0.07,11.5,42,1,0,0,normal
